,,,,,,Daily Price Report-01-01-2026 to 03-09-2026 for Maharashtra,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,350.00",Rs./Quintal,26-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,850.00",Rs./Quintal,24-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,450.00",Rs./Quintal,24-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,850.00",Rs./Quintal,23-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,200.00",Rs./Quintal,23-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,850.00",Rs./Quintal,20-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,550.00","7,700.00","7,250.00",Rs./Quintal,20-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,950.00",Rs./Quintal,17-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,550.00","7,700.00","7,625.00",Rs./Quintal,17-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,950.00",Rs./Quintal,16-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,250.00",Rs./Quintal,16-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,950.00",Rs./Quintal,10-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,950.00","7,600.00","7,450.00",Rs./Quintal,10-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,950.00",Rs./Quintal,09-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,930.00","7,700.00","7,500.00",Rs./Quintal,09-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,025.00","7,950.00",Rs./Quintal,05-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,715.00","8,000.00","7,950.00",Rs./Quintal,04-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,750.00","8,150.00","7,950.00",Rs./Quintal,02-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,750.00","8,150.00","7,950.00",Rs./Quintal,30-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,750.00","8,200.00","7,950.00",Rs./Quintal,29-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,825.00","8,200.00","8,050.00",Rs./Quintal,28-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,200.00","7,950.00",Rs./Quintal,23-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,675.00","7,700.00","7,685.00",Rs./Quintal,23-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,225.00","7,950.00",Rs./Quintal,22-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,600.00","7,700.00","7,650.00",Rs./Quintal,22-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,200.00","7,950.00",Rs./Quintal,21-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,700.00","7,700.00","7,700.00",Rs./Quintal,21-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,250.00","7,950.00",Rs./Quintal,20-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,650.00","7,700.00","7,700.00",Rs./Quintal,20-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,150.00","7,950.00",Rs./Quintal,19-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,600.00","7,700.00","7,650.00",Rs./Quintal,19-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,225.00","8,050.00",Rs./Quintal,16-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,650.00","7,700.00","7,680.00",Rs./Quintal,16-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,250.00","7,950.00",Rs./Quintal,15-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,600.00","7,700.00","7,700.00",Rs./Quintal,15-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,250.00","7,950.00",Rs./Quintal,14-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,200.00","7,950.00",Rs./Quintal,13-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,600.00","7,700.00","7,650.00",Rs./Quintal,13-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,200.00","8,010.00",Rs./Quintal,12-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,600.00","7,700.00","7,650.00",Rs./Quintal,12-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,010.00","7,850.00",Rs./Quintal,09-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,09-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,010.00","7,850.00",Rs./Quintal,08-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,350.00","7,700.00","7,550.00",Rs./Quintal,08-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,010.00","7,850.00",Rs./Quintal,07-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,07-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,010.00","7,850.00",Rs./Quintal,06-01-2026
